"No.","Radio ID","Name","Call Type","Call Alert"
"1","2","Local","Group Call","None"
"2","91","BM Worldwide","Group Call","None"
"3","99","DMR MARC Simplex","Group Call","None"
"4","100","Wyoming Local","Group Call","None"
"5","310","TAC 310","Group Call","None"
"6","505","RMHAM New Mexico","Group Call","None"
"7","700","Rocky Mountain","Group Call","None"
"8","705","Eastern","Group Call","None"
"9","710","Lookout Local","Group Call","None"
"10","711","Devils Local","Group Call","None"
"11","713","ABQ Local","Group Call","None"
"12","714","Los Alamos Local","Group Call","None"
"13","715","Taos Local","Group Call","None"
"14","716","Limon Local","Group Call","None"
"15","718","SouthEast","Group Call","None"
"16","719","South","Group Call","None"
"17","720","Central","Group Call","None"
"18","721","North","Group Call","None"
"19","722","CSU Local","Group Call","None"
"20","723","Boulder Local","Group Call","None"
"21","745","RMHAMFourCorners","Group Call","None"
"22","3100","BM USA","Group Call","None"
"23","3108","BM Colorado","Group Call","None"
"24","3156","Wyoming Wide","Group Call","None"
"25","4000","BM Unlink","Group Call","None"
"26","9990","BM Parrot","Private Call","None"
"27","31062","BM MTN West","Group Call","None"
"28","310804","BM W0TX Lcl","Group Call","None"
"29","310842","BM ARESDEC","Group Call","None"
"30","310844","BM PRA Lcl","Group Call","None"
"31","16777215","All Call","All Call","None"
