"Key","Mode","Menu","Call Type","Call Object","Call Object Call Type","Call Object TG/DMR ID","Digi Call Type","Content"
"1","Call","Off","Off","Off","","Group Call","","Off","0"
"2","Call","Off","Off","Off","","Group Call","","Off","0"
"3","Call","Off","Off","Off","","Group Call","","Off","0"
"4","Call","Off","Off","Off","","Group Call","","Off","0"
"5","Call","Off","Off","Off","","Group Call","","Off","0"
"6","Call","Off","Off","Off","","Group Call","","Off","0"
"7","Call","Off","Off","Off","","Group Call","","Off","0"
"8","Call","Off","Off","Off","","Group Call","","Off","0"
"9","Call","Off","Off","Off","","Group Call","","Off","0"
"10","Call","Off","Off","Off","","Group Call","","Off","0"
"11","Call","Off","Off","Off","","Group Call","","Off","0"
"12","Call","Off","Off","Off","","Group Call","","Off","0"
"13","Call","Off","Off","Off","","Group Call","","Off","0"
"14","Call","Off","Off","Off","","Group Call","","Off","0"
"15","Call","Off","Off","Off","","Group Call","","Off","0"
"16","Call","Off","Off","Off","","Group Call","","Off","0"
"17","Call","Off","Off","Off","","Group Call","","Off","0"
"18","Call","Off","Off","Off","","Group Call","","Off","0"
"19","Menu","Contact List","Analog","Off","","Group Call","","Off","0"
"20","Menu","Manual Dial","Analog","Off","","Group Call","","Off","0"
"21","Menu","Call Log","Analog","Off","","Group Call","","Off","0"
"22","Menu","Dialed Call","Analog","Off","","Group Call","","Off","0"
"23","Menu","Received Call","Analog","Off","","Group Call","","Off","0"
"24","Menu","Missed Call","Analog","Off","","Group Call","","Off","0"
