"No.","Group Name","Contact","Contact TG/DMR ID"
"1","ABQ Local","ABQ Local|RMHAM New Mexico|South","713|505|719"
"2","BM All","BM ARESDEC|BM Colorado|BM MTN West|BM PRA Lcl|BM Unlink|BM USA|BM W0TX Lcl|BM Worldwide|Local","310842|3108|31062|310844|4000|3100|310804|91|2"
"3","Central","Central","720"
"4","CSU Local","CSU Local","722"
"5","Devils Local","Devils Local","711"
"6","DMR MARC Simplex","DMR MARC Simplex","99"
"7","Four Corners","RMHAM New Mexico|RMHAMFourCorners|South","505|745|719"
"8","Lookout Local","Lookout Local","710"
"9","Los Alamos Local","Los Alamos Local|RMHAM New Mexico|South","714|505|719"
"10","North","North","721"
"11","RMHAM NM","ABQ Local|Los Alamos Local|RMHAM New Mexico|South|Taos Local","713|714|505|719|715"
"12","Rocky Mountain","Rocky Mountain","700"
"13","South","South","719"
"14","Wyoming Wide","Wyoming Wide","3156"
"15","Wyoming Local","Wyoming Local","100"
"16","Boulder Local","Boulder Local","723"
"17","Taos Local","Taos Local","715"
"18","Eastern","Eastern","705"
